port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Algeciras,2019,12,220,30,773.005551,3.513661595454545,25.7668517,0.1363636363636364
Algeciras,2020,1,276,39,1132.1294625,4.101918342391304,29.02896057692308,0.1413043478260869
Algeciras,2020,2,236,26,640.8397219,2.715422550423729,24.64768161153846,0.1101694915254237
Algeciras,2020,3,231,28,892.9977804,3.865791257142857,31.89277787142857,0.1212121212121212
Algeciras,2020,4,229,29,686.986119,2.999939384279476,23.68917651724138,0.1266375545851528
Algeciras,2020,5,247,37,1125.2055452,4.555488037246963,30.41096068108108,0.1497975708502024
Algeciras,2020,6,250,27,611.7272189,2.4469088756,22.65656366296296,0.108
Algeciras,2020,7,255,46,1322.30333,5.185503254901961,28.74572456521739,0.1803921568627451
Algeciras,2020,8,255,33,723.2813874,2.836397597647059,21.9176178,0.1294117647058824
Algeciras,2020,9,247,27,575.0574954599999,2.328167997813765,21.29842575777777,0.1093117408906883
Algeciras,2020,10,245,27,667.3824995,2.724010202040816,24.71787035185185,0.1102040816326531
Algeciras,2020,11,233,16,299.2827837,1.284475466523605,18.70517398125,0.0686695278969957
Algeciras,2020,12,229,32,768.485002,3.355829703056769,24.0151563125,0.1397379912663755
Algeciras,2021,1,223,22,1052.8561163,4.721327875784753,47.85709619545455,0.0986547085201793
Algeciras,2021,2,210,14,200.7866656,0.956126979047619,14.34190468571428,0.0666666666666666
Algeciras,2021,3,237,18,297.0769416,1.253489205063291,16.50427453333333,0.0759493670886076
Algeciras,2021,4,236,29,845.894145,3.584297224576271,29.16876362068965,0.1228813559322034
Algeciras,2021,5,244,28,527.1072296,2.160275531147541,18.8252582,0.1147540983606557
Algeciras,2021,6,234,25,534.9736153,2.286212031196581,21.398944612,0.1068376068376068
Algeciras,2021,7,231,26,576.87304894,2.497285926147186,22.18742495923077,0.1125541125541126
Algeciras,2021,8,240,30,900.7400155,3.753083397916667,30.02466718333334,0.125
Algeciras,2021,9,237,42,999.6510977,4.217937121097046,23.80121661190476,0.1772151898734177
Algeciras,2021,10,238,29,433.0388933,1.819491148319328,14.93237563103448,0.1218487394957983
Algeciras,2021,11,217,24,594.6875098,2.74049543686636,24.77864624166667,0.1105990783410138
Algeciras,2021,12,207,18,918.594158,4.437652937198068,51.03300877777778,0.0869565217391304
Algeciras,2022,1,213,18,660.32998976,3.100140796995305,36.68499943111111,0.0845070422535211
Algeciras,2022,2,181,20,443.1580535,2.448387035911602,22.157902675,0.1104972375690608
Algeciras,2022,3,227,14,260.72416745,1.148564614317181,18.62315481785714,0.0616740088105726
